names,state,party,district,cid
 TJ Cox,California,Democrat, District 21,N00028122
 Angie Craig,Minnesota,Democrat, District 2,N00037039
 Kevin Cramer,North Dakota,Republican, Senate,N00004614
 Mike Crapo,Idaho,Republican, Senate,N00006267
 Rick Crawford,Arkansas,Republican, District 1,N00030770
 Dan Crenshaw,Texas,Republican, District 2,N00042224
 Charlie Crist,Florida,Democrat, District 13,N00002942
 Jason Crow,Colorado,Democrat, District 6,N00040876
 Ted Cruz,Texas,Republican, Senate,N00033085
 Henry Cuellar,Texas,Democrat, District 28,N00024978
 Joe Cunningham,South Carolina,Democrat, District 1,N00041400
 John Curtis,Utah,Republican, District 3,N00041221
 Steven Daines,Montana,Republican, Senate,N00033054
 Sharice Davids,Kansas,Democrat, District 3,N00042626
 Warren Davidson,Ohio,Republican, District 8,N00038767
 Danny K Davis,Illinois,Democrat, District 7,N00004884
 Rodney Davis,Illinois,Republican, District 13,N00034784
 Susan Davis,California,Democrat, District 53,N00009604
 Madeleine Dean,Pennsylvania,Democrat, District 4,N00042894
 Peter DeFazio,Oregon,Democrat, District 4,N00007781
 Diana DeGette,Colorado,Democrat, District 1,N00006134
 Rosa L DeLauro,Connecticut,Democrat, District 3,N00000615
 Suzan DelBene,Washington,Democrat, District 1,N00030693
 Antonio Delgado,New York,Democrat, District 19,N00040741
 Val Demings,Florida,Democrat, District 10,N00033449
 Mark Desaulnier,California,Democrat, District 11,N00030709
 Scott Desjarlais,Tennessee,Republican, District 4,N00030957
 Ted Deutch,Florida,Democrat, District 22,N00031317
 Mario Diaz-Balart,Florida,Republican, District 25,N00025337
 Debbie Dingell,Michigan,Democrat, District 12,N00036149
 Lloyd Doggett,Texas,Democrat, District 35,N00006023
 Mike Doyle,Pennsylvania,Democrat, District 18,N00001373
 Tammy Duckworth,Illinois,Democrat, Senate,N00027860
 Jeff Duncan,South Carolina,Republican, District 3,N00030752
 Neal Dunn,Florida,Republican, District 2,N00037442
 Dick Durbin,Illinois,Democrat, Senate,N00004981
 Tom Emmer,Minnesota,Republican, District 6,N00035440
 Eliot Engel,New York,Democrat, District 16,N00001003
 Mike Enzi,Wyoming,Republican, Senate,N00006249
 Joni Ernst,Iowa,Republican, Senate,N00035483
 Veronica Escobar,Texas,Democrat, District 16,N00041702
 Anna Eshoo,California,Democrat, District 18,N00007335
 Adriano Espaillat,New York,Democrat, District 13,N00034549
 Ron Estes,Kansas,Republican, District 4,N00040712
 Dwight Evans,Pennsylvania,Democrat, District 3,N00038450
 Dianne Feinstein,California,Democrat, Senate,N00007364
 Drew Ferguson,Georgia,Republican, District 3,N00039090
 Abby Finkenauer,Iowa,Democrat, District 1,N00040888
 Deb Fischer,Nebraska,Republican, Senate,N00033443
 Brian Fitzpatrick,Pennsylvania,Republican, District 1,N00038779
 Chuck Fleischmann,Tennessee,Republican, District 3,N00030815
 Lizzie Fletcher,Texas,Democrat, District 7,N00041194
 Bill Flores,Texas,Republican, District 17,N00031545
 Jeff Fortenberry,Nebraska,Republican, District 1,N00026631
 Bill Foster,Illinois,Democrat, District 11,N00029139
 Virginia Foxx,North Carolina,Republican, District 5,N00026166
 Lois J Frankel,Florida,Democrat, District 21,N00002893
 Marcia Fudge,Ohio,Democrat, District 11,N00030490
 Russ Fulcher,Idaho,Republican, District 1,N00041335
 Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281
 Matt Gaetz,Florida,Republican, District 1,N00039503
 Mike Gallagher,Wisconsin,Republican, District 8,N00039330
 Ruben Gallego,Arizona,Democrat, District 7,N00036097
 John Garamendi,California,Democrat, District 3,N00030856
 Jesus Garcia,Illinois,Democrat, District 4,N00042114
 Mike Garcia,California,Republican, District 25,N00044298
 Sylvia Garcia,Texas,Democrat, District 29,N00042282
 Cory Gardner,Colorado,Republican, Senate,N00030780
 Greg Gianforte,Montana,Republican, District 1,N00040733
 Bob Gibbs,Ohio,Republican, District 7,N00031128
 Kirsten Gillibrand,New York,Democrat, Senate,N00027658
 Louis B Jr Gohmert,Texas,Republican, District 1,N00026148
 Jared Golden,Maine,Democrat, District 2,N00041668
 Jimmy Gomez,California,Democrat, District 34,N00040597
 Anthony Gonzalez,Ohio,Republican, District 16,N00041690
 Jenniffer Gonzalez,Puerto Rico,Third Party, At Large,N00037615
 Vicente Gonzalez,Texas,Democrat, District 15,N00038809
 Lance Gooden,Texas,Republican, District 5,N00042237
 Paul Gosar,Arizona,Republican, District 4,N00030771
 Josh Gottheimer,New Jersey,Democrat, District 5,N00036944
 Lindsey Graham,South Carolina,Republican, Senate,N00009975
 Kay Granger,Texas,Republican, District 12,N00008799
 Chuck Grassley,Iowa,Republican, Senate,N00001758
 Garret Graves,Louisiana,Republican, District 6,N00036135
 Sam Graves,Missouri,Republican, District 6,N00013323
 Al Green,Texas,Democrat, District 9,N00026686
 Mark Green,Tennessee,Republican, District 7,N00041873
 Morgan Griffith,Virginia,Republican, District 9,N00032029
 Raul M Grijalva,Arizona,Democrat, District 3,N00025284
 Glenn S Grothman,Wisconsin,Republican, District 6,N00036409
 Michael Guest,Mississippi,Republican, District 3,N00042458
 Brett Guthrie,Kentucky,Republican, District 2,N00029675
 Debra Haaland,New Mexico,Democrat, District 1,N00040933
 Jim Hagedorn,Minnesota,Republican, District 1,N00031390
 Josh Harder,California,Democrat, District 10,N00040853
 Andy Harris,Maryland,Republican, District 1,N00029147
 Kamala Harris,California,Democrat, Senate,N00036915
 Vicky Hartzler,Missouri,Republican, District 4,N00031005
 Maggie Hassan,New Hampshire,Democrat, Senate,N00038397
 Alcee Hastings,Florida,Democrat, District 20,N00002884
 Josh Hawley,Missouri,Republican, Senate,N00041620
 Jahana Hayes,Connecticut,Democrat, District 5,N00043421
 Dennis Heck,Washington,Democrat, District 10,N00031557
 Martin Heinrich,New Mexico,Democrat, Senate,N00029835
 Kevin Hern,Oklahoma,Republican, District 1,N00040829
 Jody Hice,Georgia,Republican, District 10,N00032243
 Brian M Higgins,New York,Democrat, District 26,N00027060
 Clay Higgins,Louisiana,Republican, District 3,N00039953
 French Hill,Arkansas,Republican, District 2,N00035792
 Jim Himes,Connecticut,Democrat, District 4,N00029070
 Mazie K Hirono,Hawaii,Democrat, Senate,N00028139
 John Hoeven,North Dakota,Republican, Senate,N00031688
 George Holding,North Carolina,Republican, District 2,N00033399
 Trey Hollingsworth,Indiana,Republican, District 9,N00038429
 Kendra Horn,Oklahoma,Democrat, District 5,N00041394
 Steven Horsford,Nevada,Democrat, District 4,N00033638
 Chrissy Houlahan,Pennsylvania,Democrat, District 6,N00040949
 Steny H Hoyer,Maryland,Democrat, District 5,N00001821
 Richard Hudson,North Carolina,Republican, District 8,N00033630
 Jared Huffman,California,Democrat, District 2,N00033030
 Bill Huizenga,Michigan,Republican, District 2,N00030673
 Will Hurd,Texas,Republican, District 23,N00031417
 Cindy Hyde-Smith,Mississippi,Republican, Senate,N00043298
 James M Inhofe,Oklahoma,Republican, Senate,N00005582
 Sheila Jackson Lee,Texas,Democrat, District 18,N00005818
 Chris Jacobs,New York,Republican, District 27,N00044575
 Pramila Jayapal,Washington,Democrat, District 7,N00038858
 Hakeem Jeffries,New York,Democrat, District 8,N00033640
 Bill Johnson,Ohio,Republican, District 6,N00032088
 Dusty Johnson,South Dakota,Republican, District 1,N00040559
 Eddie Bernice Johnson,Texas,Democrat, District 30,N00008122
