names,state,party,district,cid
 Chris Van Hollen,Maryland,Democrat, Senate,N00013820
 Juan Vargas,California,Democrat, District 51,N00007021
 Marc Veasey,Texas,Democrat, District 33,N00033839
 Filemon Vela,Texas,Democrat, District 34,N00034349
 Nydia Velazquez,New York,Democrat, District 7,N00001102
 Pete Visclosky,Indiana,Democrat, District 1,N00003813
 Ann Wagner,Missouri,Republican, District 2,N00033106
 Tim Walberg,Michigan,Republican, District 7,N00026368
 Greg Walden,Oregon,Republican, District 2,N00007690
 Mark Walker,North Carolina,Republican, District 6,N00035311
 Jackie Walorski,Indiana,Republican, District 2,N00031226
 Michael Waltz,Florida,Republican, District 6,N00042403
 Mark Warner,Virginia,Democrat, Senate,N00002097
 Elizabeth Warren,Massachusetts,Democrat, Senate,N00033492
 Maxine Waters,California,Democrat, District 43,N00006690
 Steve Watkins,Kansas,Republican, District 2,N00042126
 Randy Weber,Texas,Republican, District 14,N00033539
 Daniel Webster,Florida,Republican, District 11,N00026335
 Peter Welch,Vermont,Democrat, District 1,N00000515
 Brad Wenstrup,Ohio,Republican, District 2,N00033310
 Bruce Westerman,Arkansas,Republican, District 4,N00035527
 Jennifer Wexton,Virginia,Democrat, District 10,N00041002
 Sheldon Whitehouse,Rhode Island,Democrat, Senate,N00027533
 Roger Wicker,Mississippi,Republican, Senate,N00003280
 Susan Wild,Pennsylvania,Democrat, District 7,N00041997
 Roger Williams,Texas,Republican, District 25,N00030602
 Frederica Wilson,Florida,Democrat, District 24,N00030650
 Joe Wilson,South Carolina,Republican, District 2,N00024809
 Rob Wittman,Virginia,Republican, District 1,N00029459
 Steve Womack,Arkansas,Republican, District 3,N00031857
 Rob Woodall,Georgia,Republican, District 7,N00032416
 Ron Wright,Texas,Republican, District 6,N00042240
 Ron Wyden,Oregon,Democrat, Senate,N00007724
 John Yarmuth,Kentucky,Democrat, District 3,N00028073
 Ted Yoho,Florida,Republican, District 3,N00033220
 Don Young,Alaska,Republican, District 1,N00007999
 Todd Young,Indiana,Republican, Senate,N00030670
 Lee Zeldin,New York,Republican, District 1,N00029404
