,politician,state,party,district,cid,contributor,individual_amount,PAC_amount,total_amount
0,Robert B Aderholt,Alabama,Republican, District 4,N00003028,McWane Inc,38700,0,38700
1,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Collazo Enterprises,22400,0,22400
2,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Southern Co,4309,10000,14309
3,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Leidos Inc,800,13000,13800
4,Robert B Aderholt,Alabama,Republican, District 4,N00003028,"Maynard, Cooper & Gale",3200,10000,13200
5,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Dese Research,11200,0,11200
6,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Balch & Bingham,1000,10000,11000
7,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Sierra Nevada Corp,5600,5000,10600
8,Robert B Aderholt,Alabama,Republican, District 4,N00003028,Boeing Co,250,10000,10250
9,Robert B Aderholt,Alabama,Republican, District 4,N00003028,AbbVie Inc,0,10000,10000
10,Richard W Allen,Georgia,Republican, District 12,N00033720,Pollard Lumber,17800,0,17800
11,Richard W Allen,Georgia,Republican, District 12,N00033720,Khg Fitebac Technology,11200,0,11200
12,Richard W Allen,Georgia,Republican, District 12,N00033720,Asset Advisors,11000,0,11000
13,Richard W Allen,Georgia,Republican, District 12,N00033720,Home Depot,250,10000,10250
14,Richard W Allen,Georgia,Republican, District 12,N00033720,AFLAC Inc,0,10000,10000
15,Richard W Allen,Georgia,Republican, District 12,N00033720,American Crystal Sugar,0,10000,10000
16,Richard W Allen,Georgia,Republican, District 12,N00033720,Majority Cmte PAC,0,10000,10000
17,Richard W Allen,Georgia,Republican, District 12,N00033720,National Auto Dealers Assn,0,10000,10000
18,Richard W Allen,Georgia,Republican, District 12,N00033720,Raytheon Technologies,0,10000,10000
19,Richard W Allen,Georgia,Republican, District 12,N00033720,Southern Co,0,10000,10000
20,Mark Amodei,Nevada,Republican, District 2,N00031177,Sierra Nevada Corp,7600,5500,13100
21,Mark Amodei,Nevada,Republican, District 2,N00031177,Clearpath Foundation,11200,0,11200
22,Mark Amodei,Nevada,Republican, District 2,N00031177,Station Casinos,8400,2500,10900
23,Mark Amodei,Nevada,Republican, District 2,N00031177,Credit Union National Assn,500,10000,10500
24,Mark Amodei,Nevada,Republican, District 2,N00031177,American Bankers Assn,250,10000,10250
25,Mark Amodei,Nevada,Republican, District 2,N00031177,Barrick Gold Corp,0,10000,10000
26,Mark Amodei,Nevada,Republican, District 2,N00031177,Berkshire Hathaway,0,10000,10000
27,Mark Amodei,Nevada,Republican, District 2,N00031177,Currikiorg                                        ,10000,0,10000
28,Mark Amodei,Nevada,Republican, District 2,N00031177,Majority Cmte PAC,0,10000,10000
29,Mark Amodei,Nevada,Republican, District 2,N00031177,National Assn of Home Builders,0,9000,9000
30,Cindy Axne,Iowa,Democrat, District 3,N00041104,Emily's List,65932,10000,75932
31,Cindy Axne,Iowa,Democrat, District 3,N00041104,Democracy Engine,64381,0,64381
32,Cindy Axne,Iowa,Democrat, District 3,N00041104,AmeriPAC: The Fund for a Greater America,21000,10000,31000
33,Cindy Axne,Iowa,Democrat, District 3,N00041104,Centene Corp,20908,5000,25908
34,Cindy Axne,Iowa,Democrat, District 3,N00041104,End Citizens United & Let America Vote,13750,10000,23750
35,Cindy Axne,Iowa,Democrat, District 3,N00041104,University of Iowa,22505,0,22505
36,Cindy Axne,Iowa,Democrat, District 3,N00041104,J Street,18862,2500,21362
37,Cindy Axne,Iowa,Democrat, District 3,N00041104,PAC to the Future,0,20000,20000
38,Cindy Axne,Iowa,Democrat, District 3,N00041104,Democratic Congressional Campaign Cmte,19974,0,19974
39,Cindy Axne,Iowa,Democrat, District 3,N00041104,Alphabet Inc,19349,0,19349
40,Jim Baird,Indiana,Republican, District 4,N00041954,American Crystal Sugar,0,10000,10000
41,Jim Baird,Indiana,Republican, District 4,N00041954,Majority Cmte PAC,0,10000,10000
42,Jim Baird,Indiana,Republican, District 4,N00041954,With Honor PAC,0,7500,7500
43,Jim Baird,Indiana,Republican, District 4,N00041954,Gaylor Electric,7066,0,7066
44,Jim Baird,Indiana,Republican, District 4,N00041954,Barnes & Thornburg,6050,1000,7050
45,Jim Baird,Indiana,Republican, District 4,N00041954,Cook Group,6050,1000,7050
46,Jim Baird,Indiana,Republican, District 4,N00041954,Associated Builders & Contractors,1000,5000,6000
47,Jim Baird,Indiana,Republican, District 4,N00041954,AT&T Inc,0,6000,6000
48,Jim Baird,Indiana,Republican, District 4,N00041954,Indiana ACRE,0,6000,6000
49,Jim Baird,Indiana,Republican, District 4,N00041954,National Assn of Realtors,0,6000,6000
50,Jim Banks,Indiana,Republican, District 3,N00037185,MacAndrews & Forbes,14850,10000,24850
51,Jim Banks,Indiana,Republican, District 3,N00037185,Raytheon Technologies,0,13000,13000
52,Jim Banks,Indiana,Republican, District 3,N00037185,Boeing Co,1025,10000,11025
53,Jim Banks,Indiana,Republican, District 3,N00037185,Lockheed Martin,1,10000,10001
54,Jim Banks,Indiana,Republican, District 3,N00037185,American Bankers Assn,0,10000,10000
55,Jim Banks,Indiana,Republican, District 3,N00037185,BAE Systems,0,10000,10000
56,Jim Banks,Indiana,Republican, District 3,N00037185,Eli Lilly & Co,0,10000,10000
57,Jim Banks,Indiana,Republican, District 3,N00037185,Home Depot,0,10000,10000
58,Jim Banks,Indiana,Republican, District 3,N00037185,Honeywell International,0,10000,10000
59,Jim Banks,Indiana,Republican, District 3,N00037185,L3Harris Technologies,0,10000,10000
60,John A Barrasso,Wyoming,Republican, Senate,N00006236,Neurological Surgery Pc,43200,0,43200
61,John A Barrasso,Wyoming,Republican, Senate,N00006236,Medquest Pharmacy,16000,0,16000
62,John A Barrasso,Wyoming,Republican, Senate,N00006236,Vertex Pharmaceuticals,7700,5000,12700
63,John A Barrasso,Wyoming,Republican, Senate,N00006236,US Navy,11230,0,11230
64,John A Barrasso,Wyoming,Republican, Senate,N00006236,Chartwell Hotels Arbor Realty,11200,0,11200
65,John A Barrasso,Wyoming,Republican, Senate,N00006236,Clearpath Foundation,11200,0,11200
66,John A Barrasso,Wyoming,Republican, Senate,N00006236,American Academy of Emergency Medicine,0,10000,10000
67,John A Barrasso,Wyoming,Republican, Senate,N00006236,Cloud Peak Energy,0,10000,10000
68,John A Barrasso,Wyoming,Republican, Senate,N00006236,Energy Fuels,10000,0,10000
69,John A Barrasso,Wyoming,Republican, Senate,N00006236,Free State PAC,0,10000,10000
70,Michael Bennet,Colorado,Democrat, Senate,N00030608,Ares Management,16800,0,16800
71,Michael Bennet,Colorado,Democrat, Senate,N00030608,Crei,16800,0,16800
72,Michael Bennet,Colorado,Democrat, Senate,N00030608,Urology Center of Colorado,13000,0,13000
73,Michael Bennet,Colorado,Democrat, Senate,N00030608,Blackstone Group,11200,0,11200
74,Michael Bennet,Colorado,Democrat, Senate,N00030608,Centerbridge Partners,11200,0,11200
75,Michael Bennet,Colorado,Democrat, Senate,N00030608,Seattle Fish Co,11200,0,11200
76,Michael Bennet,Colorado,Democrat, Senate,N00030608,Giddy Up PAC,0,10000,10000
77,Michael Bennet,Colorado,Democrat, Senate,N00030608,Great Lakes PAC,0,10000,10000
78,Michael Bennet,Colorado,Democrat, Senate,N00030608,KidsPAC,0,10000,10000
79,Michael Bennet,Colorado,Democrat, Senate,N00030608,Select Medical Holdings,10000,0,10000
80,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Blue Cross/Blue Shield,1947,22000,23947
81,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Pacific Bells Inc,16900,0,16900
82,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Fisher Investments,14200,0,14200
83,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Boeing Co,3833,10000,13833
84,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,National Assn of Letter Carriers,0,12000,12000
85,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Paccar Inc,5850,6000,11850
86,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Blackstone Group,11217,0,11217
87,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Bk2 Holdings,11200,0,11200
88,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,Clearpath Foundation,11200,0,11200
89,Jaime Herrera Beutler,Washington,Republican, District 3,N00031559,CliniComp International,11200,0,11200
90,Gus Bilirakis,Florida,Republican, District 12,N00027462,Linde plc,18849,5000,23849
91,Gus Bilirakis,Florida,Republican, District 12,N00027462,Florida Cancer Specialists,17000,0,17000
92,Gus Bilirakis,Florida,Republican, District 12,N00027462,National Assn of Broadcasters,3500,10000,13500
93,Gus Bilirakis,Florida,Republican, District 12,N00027462,Blue Cross/Blue Shield,0,12500,12500
94,Gus Bilirakis,Florida,Republican, District 12,N00027462,Honeywell International,2250,10000,12250
95,Gus Bilirakis,Florida,Republican, District 12,N00027462,Amscot Financial,12200,0,12200
96,Gus Bilirakis,Florida,Republican, District 12,N00027462,Precision Orthopedics,11700,0,11700
97,Gus Bilirakis,Florida,Republican, District 12,N00027462,Igas,11200,0,11200
98,Gus Bilirakis,Florida,Republican, District 12,N00027462,Pinch A Penny,11200,0,11200
99,Gus Bilirakis,Florida,Republican, District 12,N00027462,Ntc,10100,0,10100
100,Sanford Bishop,Georgia,Democrat, District 2,N00002674,AFLAC Inc,6350,10000,16350
101,Sanford Bishop,Georgia,Democrat, District 2,N00002674,Raytheon Technologies,0,13500,13500
102,Sanford Bishop,Georgia,Democrat, District 2,N00002674,Teamsters Union,50,10000,10050
103,Sanford Bishop,Georgia,Democrat, District 2,N00002674,Alabama Farmers Federation,0,10000,10000
104,Sanford Bishop,Georgia,Democrat, District 2,N00002674,Altria Group,0,10000,10000
105,Sanford Bishop,Georgia,Democrat, District 2,N00002674,American Crystal Sugar,0,10000,10000
106,Sanford Bishop,Georgia,Democrat, District 2,N00002674,American Federation of State/Cnty/Munic Employees,0,10000,10000
107,Sanford Bishop,Georgia,Democrat, District 2,N00002674,American Federation of Teachers,0,10000,10000
108,Sanford Bishop,Georgia,Democrat, District 2,N00002674,American Peanut Shellers Assn,0,10000,10000
109,Sanford Bishop,Georgia,Democrat, District 2,N00002674,American Pistachio Growers,0,10000,10000
110,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Microsoft Corp,15701,0,15701
111,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Granite Telecom,15000,0,15000
112,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Crawford Group,2800,10000,12800
113,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Yale University,11996,0,11996
114,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Lone Pine Capital,11200,0,11200
115,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Centene Corp,18,10000,10018
116,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Freepoint Commodities,10000,0,10000
117,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Harvard University,9805,0,9805
118,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Foster & Foster,9550,0,9550
119,Richard Blumenthal,Connecticut,Democrat, Senate,N00031685,Oracle Corp,2066,7000,9066
120,Cory Booker,New Jersey,Democrat, Senate,N00035267,United Airlines Holdings,39537,0,39537
121,Cory Booker,New Jersey,Democrat, Senate,N00035267,Bain Capital,33561,0,33561
122,Cory Booker,New Jersey,Democrat, Senate,N00035267,Comcast Corp,22763,0,22763
123,Cory Booker,New Jersey,Democrat, Senate,N00035267,Lyft Inc,21753,0,21753
124,Cory Booker,New Jersey,Democrat, Senate,N00035267,Service Employees International Union,10005,10000,20005
125,Cory Booker,New Jersey,Democrat, Senate,N00035267,Kirkland & Ellis,19860,0,19860
126,Cory Booker,New Jersey,Democrat, Senate,N00035267,Centerview Partners,19600,0,19600
127,Cory Booker,New Jersey,Democrat, Senate,N00035267,Lowenstein Sandler Llp,19573,0,19573
128,Cory Booker,New Jersey,Democrat, Senate,N00035267,William Blair & Co,18300,0,18300
129,Cory Booker,New Jersey,Democrat, Senate,N00035267,Alphabet Inc,17900,0,17900
130,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Comcast Corp,6520,10000,16520
131,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Select Medical Holdings,5600,10000,15600
132,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Almo Corp,11215,0,11215
133,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Cozen O'Connor,4000,7000,11000
134,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Ballard Spahr LLP,3800,7000,10800
135,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,AT&T Inc,500,10000,10500
136,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Massachusetts Mutual Life Insurance,100,10000,10100
137,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,Home Depot,20,10000,10020
138,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,United Steelworkers,10,10000,10010
139,Brendan Boyle,Pennsylvania,Democrat, District 2,N00035307,AbbVie Inc,0,10000,10000
140,Anthony Brindisi,New York,Democrat, District 22,N00041385,State University of New York,46905,0,46905
141,Anthony Brindisi,New York,Democrat, District 22,N00041385,Hamilton College,44218,0,44218
142,Anthony Brindisi,New York,Democrat, District 22,N00041385,Democracy Engine,36500,0,36500
143,Anthony Brindisi,New York,Democrat, District 22,N00041385,United for A Strong America,17633,15000,32633
144,Anthony Brindisi,New York,Democrat, District 22,N00041385,End Citizens United & Let America Vote,21211,10000,31211
145,Anthony Brindisi,New York,Democrat, District 22,N00041385,Cornell University,30304,0,30304
146,Anthony Brindisi,New York,Democrat, District 22,N00041385,Colgate University,29514,0,29514
147,Anthony Brindisi,New York,Democrat, District 22,N00041385,Digidems PAC,22399,387,22786
148,Anthony Brindisi,New York,Democrat, District 22,N00041385,State of New York,21818,0,21818
149,Anthony Brindisi,New York,Democrat, District 22,N00041385,Alphabet Inc,20394,0,20394
150,Anthony Brown,Maryland,Democrat, District 4,N00036999,Leidos Inc,33400,10000,43400
151,Anthony Brown,Maryland,Democrat, District 4,N00036999,L3Harris Technologies,500,20000,20500
152,Anthony Brown,Maryland,Democrat, District 4,N00036999,Raytheon Technologies,500,17000,17500
153,Anthony Brown,Maryland,Democrat, District 4,N00036999,Seafarers International Union,0,11750,11750
154,Anthony Brown,Maryland,Democrat, District 4,N00036999,Nai Michael Co,10900,0,10900
155,Anthony Brown,Maryland,Democrat, District 4,N00036999,DLA Piper,6000,4500,10500
156,Anthony Brown,Maryland,Democrat, District 4,N00036999,Lockheed Martin,500,10000,10500
157,Anthony Brown,Maryland,Democrat, District 4,N00036999,Amalgamated Transit Union,0,10000,10000
158,Anthony Brown,Maryland,Democrat, District 4,N00036999,Amazon.com,0,10000,10000
159,Anthony Brown,Maryland,Democrat, District 4,N00036999,BAE Systems,0,10000,10000
160,Vernon Buchanan,Florida,Republican, District 16,N00027626,NextEra Energy,16850,15000,31850
161,Vernon Buchanan,Florida,Republican, District 16,N00027626,Publix Super Markets,21820,10000,31820
162,Vernon Buchanan,Florida,Republican, District 16,N00027626,Holland & Knight,21200,5000,26200
163,Vernon Buchanan,Florida,Republican, District 16,N00027626,Blue Cross/Blue Shield,0,23000,23000
164,Vernon Buchanan,Florida,Republican, District 16,N00027626,Select Medical Holdings,12600,10000,22600
165,Vernon Buchanan,Florida,Republican, District 16,N00027626,Bealls Inc,15000,5000,20000
166,Vernon Buchanan,Florida,Republican, District 16,N00027626,Fanjul Corp,16800,0,16800
167,Vernon Buchanan,Florida,Republican, District 16,N00027626,Pacific Tomato Growers,16800,0,16800
168,Vernon Buchanan,Florida,Republican, District 16,N00027626,Interco Management,15000,0,15000
169,Vernon Buchanan,Florida,Republican, District 16,N00027626,Road to Freedom PAC,0,15000,15000
170,Ted Budd,North Carolina,Republican, District 13,N00039551,House Freedom Fund,109815,10000,119815
171,Ted Budd,North Carolina,Republican, District 13,N00039551,Club for Growth,50230,0,50230
172,Ted Budd,North Carolina,Republican, District 13,N00039551,Budd Group,30000,0,30000
173,Ted Budd,North Carolina,Republican, District 13,N00039551,Nucor Corp,23200,0,23200
174,Ted Budd,North Carolina,Republican, District 13,N00039551,Truist Financial,2025,20000,22025
175,Ted Budd,North Carolina,Republican, District 13,N00039551,Bank of America,7250,9000,16250
176,Ted Budd,North Carolina,Republican, District 13,N00039551,Blackstone Group,11200,0,11200
177,Ted Budd,North Carolina,Republican, District 13,N00039551,Carroll Companies,11200,0,11200
178,Ted Budd,North Carolina,Republican, District 13,N00039551,Corry Capital Advisors,11200,0,11200
179,Ted Budd,North Carolina,Republican, District 13,N00039551,Hathaway Investment Properties,11200,0,11200
180,Richard Burr,North Carolina,Republican, Senate,N00002221,Altria Group,5600,5000,10600
181,Richard Burr,North Carolina,Republican, Senate,N00002221,Alamo PAC,0,5000,5000
182,Richard Burr,North Carolina,Republican, Senate,N00002221,Arkansas for Leadership,0,5000,5000
183,Richard Burr,North Carolina,Republican, Senate,N00002221,Badlands PAC,0,5000,5000
184,Richard Burr,North Carolina,Republican, Senate,N00002221,Big Sky Opportunity PAC,0,5000,5000
185,Richard Burr,North Carolina,Republican, Senate,N00002221,British American Tobacco,0,5000,5000
186,Richard Burr,North Carolina,Republican, Senate,N00002221,Common Values PAC,0,5000,5000
187,Richard Burr,North Carolina,Republican, Senate,N00002221,Dakota PAC,0,5000,5000
188,Richard Burr,North Carolina,Republican, Senate,N00002221,Defend America PAC,0,5000,5000
189,Richard Burr,North Carolina,Republican, Senate,N00002221,Denali Leadership PAC,0,5000,5000
190,Bradley Byrne,Alabama,Republican, District 1,N00035380,Pilot Catastrophe Services,25200,0,25200
191,Bradley Byrne,Alabama,Republican, District 1,N00035380,McWane Inc,19050,0,19050
192,Bradley Byrne,Alabama,Republican, District 1,N00035380,Brett/Robinson Inc,16400,0,16400
193,Bradley Byrne,Alabama,Republican, District 1,N00035380,Magnolia Marketing,16200,0,16200
194,Bradley Byrne,Alabama,Republican, District 1,N00035380,Dai-Ichi Life,15600,0,15600
195,Bradley Byrne,Alabama,Republican, District 1,N00035380,Hoar Construction,15600,0,15600
196,Bradley Byrne,Alabama,Republican, District 1,N00035380,Raytheon Technologies,0,15000,15000
197,Bradley Byrne,Alabama,Republican, District 1,N00035380,United Parcel Service,5000,10000,15000
198,Bradley Byrne,Alabama,Republican, District 1,N00035380,Collazo Enterprises                     ,14000,0,14000
199,Bradley Byrne,Alabama,Republican, District 1,N00035380,Drummond Co,14000,0,14000
200,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,GEO Group,36000,10000,46000
201,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,FirstEnergy Corp,39300,5000,44300
202,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Elliott Management,31500,0,31500
203,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Jennmar Corp,28000,0,28000
204,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,DISH Network,17050,10000,27050
205,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Williams Companies,16800,9000,25800
206,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,NorPAC,25500,0,25500
207,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Sullivan & Cromwell,24700,0,24700
208,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Delta Air Lines,18075,5000,23075
209,Shelley Moore Capito,West Virginia,Republican, Senate,N00009771,Dominion Energy,14600,7500,22100
210,Ben Cardin,Maryland,Democrat, Senate,N00001955,Kidney Care Partners,0,9000,9000
211,Ben Cardin,Maryland,Democrat, Senate,N00001955,AEGON NV,0,7500,7500
212,Ben Cardin,Maryland,Democrat, Senate,N00001955,Massachusetts Mutual Life Insurance,2000,5000,7000
213,Ben Cardin,Maryland,Democrat, Senate,N00001955,Pacific Mutual Holding,1000,5000,6000
214,Ben Cardin,Maryland,Democrat, Senate,N00001955,US Renal Care,2500,2500,5000
215,Ben Cardin,Maryland,Democrat, Senate,N00001955,USAA,0,5000,5000
216,Ben Cardin,Maryland,Democrat, Senate,N00001955,Franklin Morris & Assoc,4500,0,4500
217,Ben Cardin,Maryland,Democrat, Senate,N00001955,AXA,1000,2500,3500
218,Ben Cardin,Maryland,Democrat, Senate,N00001955,Guardian Life Insurance,2500,1000,3500
219,Ben Cardin,Maryland,Democrat, Senate,N00001955,Asurion Corp,0,3000,3000
220,Buddy Carter,Georgia,Republican, District 1,N00035346,General Dynamics,7010,10000,17010
221,Buddy Carter,Georgia,Republican, District 1,N00035346,Associated Urological Specialists,16000,0,16000
222,Buddy Carter,Georgia,Republican, District 1,N00035346,ClearPath Foundation,14300,0,14300
223,Buddy Carter,Georgia,Republican, District 1,N00035346,Lee Container Corp,12600,0,12600
224,Buddy Carter,Georgia,Republican, District 1,N00035346,National Community Pharmacists Assn,2500,10000,12500
225,Buddy Carter,Georgia,Republican, District 1,N00035346,Medquest Pharmacy,11200,0,11200
226,Buddy Carter,Georgia,Republican, District 1,N00035346,AT&T Inc,1000,10000,11000
227,Buddy Carter,Georgia,Republican, District 1,N00035346,Home Depot,500,10000,10500
228,Buddy Carter,Georgia,Republican, District 1,N00035346,International Paper,500,10000,10500
229,Buddy Carter,Georgia,Republican, District 1,N00035346,Koch Industries,500,10000,10500
230,Ed Case,Hawaii,Democrat, District 1,N00025882,Wine & Spirits Wholesalers of America,0,15000,15000
231,Ed Case,Hawaii,Democrat, District 1,N00025882,State of Hawaii,13690,0,13690
232,Ed Case,Hawaii,Democrat, District 1,N00025882,American Hotel & Lodging Assn,0,10000,10000
233,Ed Case,Hawaii,Democrat, District 1,N00025882,Blue Dog PAC,0,10000,10000
234,Ed Case,Hawaii,Democrat, District 1,N00025882,Marriott International,0,10000,10000
235,Ed Case,Hawaii,Democrat, District 1,N00025882,National Assn of Realtors,0,10000,10000
236,Ed Case,Hawaii,Democrat, District 1,N00025882,New Democrat Coalition,0,10000,10000
237,Ed Case,Hawaii,Democrat, District 1,N00025882,Sheet Metal & Air Conditioning Contractors Assn,0,10000,10000
238,Ed Case,Hawaii,Democrat, District 1,N00025882,US Navy,8725,0,8725
239,Ed Case,Hawaii,Democrat, District 1,N00025882,SpaceX,0,8000,8000
240,Sean Casten,Illinois,Democrat, District 6,N00041338,University of Chicago,52782,0,52782
241,Sean Casten,Illinois,Democrat, District 6,N00041338,Northwestern University,37659,0,37659
242,Sean Casten,Illinois,Democrat, District 6,N00041338,University of Illinois,27867,0,27867
243,Sean Casten,Illinois,Democrat, District 6,N00041338,Democracy Engine,23600,0,23600
244,Sean Casten,Illinois,Democrat, District 6,N00041338,US Dept of Energy                       ,23310,0,23310
245,Sean Casten,Illinois,Democrat, District 6,N00041338,Kirkland & Ellis,22928,0,22928
246,Sean Casten,Illinois,Democrat, District 6,N00041338,Latham & Watkins                                  ,18861,0,18861
247,Sean Casten,Illinois,Democrat, District 6,N00041338,Invenergy LLC,12015,6000,18015
248,Sean Casten,Illinois,Democrat, District 6,N00041338,Wicklow Capital,17800,0,17800
249,Sean Casten,Illinois,Democrat, District 6,N00041338,Dupage Medical Group,17200,0,17200
250,Steve Chabot,Ohio,Republican, District 1,N00003689,American Financial Group,33000,0,33000
251,Steve Chabot,Ohio,Republican, District 1,N00003689,Club for Growth,22343,0,22343
252,Steve Chabot,Ohio,Republican, District 1,N00003689,North American Properties                         ,18300,0,18300
253,Steve Chabot,Ohio,Republican, District 1,N00003689,JTM Provisions,17900,0,17900
254,Steve Chabot,Ohio,Republican, District 1,N00003689,Total Quality Logistics,16800,0,16800
255,Steve Chabot,Ohio,Republican, District 1,N00003689,Cintas Corp,14201,2500,16701
256,Steve Chabot,Ohio,Republican, District 1,N00003689,Credit Union National Assn,6600,10000,16600
257,Steve Chabot,Ohio,Republican, District 1,N00003689,United Dairy Farmers,14400,0,14400
258,Steve Chabot,Ohio,Republican, District 1,N00003689,Valentine Research,13900,0,13900
259,Steve Chabot,Ohio,Republican, District 1,N00003689,Hunt Development,13800,0,13800
260,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Waterson Terminal Services,22300,0,22300
261,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Shea Labagh Dobberstein Cpas,16800,0,16800
262,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Beachwold Residential,13125,0,13125
263,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Jana Partners,11200,0,11200
264,David Cicilline,Rhode Island,Democrat, District 1,N00032019,American Federation of Teachers,1000,10000,11000
265,David Cicilline,Rhode Island,Democrat, District 1,N00032019,End Citizens United & Let America Vote,250,10000,10250
266,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Amalgamated Transit Union,0,10000,10000
267,David Cicilline,Rhode Island,Democrat, District 1,N00032019,American Assn for Justice,0,10000,10000
268,David Cicilline,Rhode Island,Democrat, District 1,N00032019,American Federation of State/Cnty/Munic Employees,0,10000,10000
269,David Cicilline,Rhode Island,Democrat, District 1,N00032019,Communications Workers of America,0,10000,10000
270,Yvette D Clarke,New York,Democrat, District 9,N00026961,Service Employees International Union,5025,10000,15025
271,Yvette D Clarke,New York,Democrat, District 9,N00026961,American Federation of Teachers,0,15000,15000
272,Yvette D Clarke,New York,Democrat, District 9,N00026961,Deutsche Telekom,250,12000,12250
273,Yvette D Clarke,New York,Democrat, District 9,N00026961,J Street,12075,0,12075
274,Yvette D Clarke,New York,Democrat, District 9,N00026961,DISH Network,5850,4900,10750
275,Yvette D Clarke,New York,Democrat, District 9,N00026961,American Academy of Pediatric Dentistry,0,10000,10000
276,Yvette D Clarke,New York,Democrat, District 9,N00026961,American Federation of State/Cnty/Munic Employees,0,10000,10000
277,Yvette D Clarke,New York,Democrat, District 9,N00026961,American Optometric Assn,0,10000,10000
278,Yvette D Clarke,New York,Democrat, District 9,N00026961,AmeriPAC: The Fund for a Greater America,0,10000,10000
279,Yvette D Clarke,New York,Democrat, District 9,N00026961,Bricklayers Union,0,10000,10000
280,Ben Cline,Virginia,Republican, District 6,N00042296,House Freedom Fund,13450,10000,23450
281,Ben Cline,Virginia,Republican, District 6,N00042296,Csm Inc,11200,0,11200
282,Ben Cline,Virginia,Republican, District 6,N00042296,Holtzman Oil,10200,0,10200
283,Ben Cline,Virginia,Republican, District 6,N00042296,American Bankers Assn,0,10000,10000
284,Ben Cline,Virginia,Republican, District 6,N00042296,Comcast Corp,0,10000,10000
285,Ben Cline,Virginia,Republican, District 6,N00042296,Majority Cmte PAC,0,10000,10000
286,Ben Cline,Virginia,Republican, District 6,N00042296,National Auto Dealers Assn,0,10000,10000
287,Ben Cline,Virginia,Republican, District 6,N00042296,National Assn of Broadcasters,5500,4000,9500
288,Ben Cline,Virginia,Republican, District 6,N00042296,McGuireWoods LLP,6300,2000,8300
289,Ben Cline,Virginia,Republican, District 6,N00042296,BWX Technologies,0,8000,8000
290,Steve Cohen,Tennessee,Democrat, District 9,N00003225,United Auto Workers,0,15000,15000
291,Steve Cohen,Tennessee,Democrat, District 9,N00003225,FedEx Corp,2500,10000,12500
292,Steve Cohen,Tennessee,Democrat, District 9,N00003225,Franklin L Haney Co,11200,0,11200
293,Steve Cohen,Tennessee,Democrat, District 9,N00003225,American Crystal Sugar,0,10000,10000
294,Steve Cohen,Tennessee,Democrat, District 9,N00003225,American Federation of State/Cnty/Munic Employees,0,10000,10000
295,Steve Cohen,Tennessee,Democrat, District 9,N00003225,International Brotherhood of Electrical Workers,0,10000,10000
296,Steve Cohen,Tennessee,Democrat, District 9,N00003225,Machinists/Aerospace Workers Union,0,10000,10000
297,Steve Cohen,Tennessee,Democrat, District 9,N00003225,"Sheet Metal, Air, Rail & Transportation Union",0,10000,10000
